"timestamp","host_id","property_name","new_value"
55800,"renewable_heavy_host","energy_mix","Biomass:0.35;Fossil Gas:4.81;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.47;Hydro Run-of-river and pondage:6.02;Hydro Water Reservoir:3.48;Nuclear:67.92;Solar:2.13;Waste:0.47;Wind Offshore:2.35;Wind Onshore:11.90;Energy storage:0.01"
56700,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:5.35;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.47;Hydro Run-of-river and pondage:6.21;Hydro Water Reservoir:3.55;Nuclear:67.54;Solar:1.42;Waste:0.47;Wind Offshore:2.33;Wind Onshore:12.21;Energy storage:0.01"
57600,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:6.07;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.41;Hydro Run-of-river and pondage:6.49;Hydro Water Reservoir:3.67;Nuclear:66.84;Solar:0.83;Waste:0.46;Wind Offshore:2.31;Wind Onshore:12.49;Energy storage:0.00"
58500,"renewable_heavy_host","energy_mix","Biomass:0.33;Fossil Gas:6.72;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.58;Hydro Run-of-river and pondage:6.50;Hydro Water Reservoir:4.02;Nuclear:65.81;Solar:0.46;Waste:0.45;Wind Offshore:2.27;Wind Onshore:12.76;Energy storage:0.01"
59400,"renewable_heavy_host","energy_mix","Biomass:0.33;Fossil Gas:7.19;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.93;Hydro Run-of-river and pondage:6.60;Hydro Water Reservoir:4.25;Nuclear:64.62;Solar:0.29;Waste:0.44;Wind Offshore:2.23;Wind Onshore:13.02;Energy storage:0.00"
60300,"renewable_heavy_host","energy_mix","Biomass:0.32;Fossil Gas:7.32;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:1.31;Hydro Run-of-river and pondage:6.72;Hydro Water Reservoir:4.43;Nuclear:63.57;Solar:0.26;Waste:0.44;Wind Offshore:2.20;Wind Onshore:13.32;Energy storage:0.01"
61200,"renewable_heavy_host","energy_mix","Biomass:0.32;Fossil Gas:7.09;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:2.42;Hydro Run-of-river and pondage:6.85;Hydro Water Reservoir:4.60;Nuclear:62.21;Solar:0.25;Waste:0.43;Wind Offshore:2.16;Wind Onshore:13.59;Energy storage:0.01"
62100,"renewable_heavy_host","energy_mix","Biomass:0.31;Fossil Gas:7.01;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:2.81;Hydro Run-of-river and pondage:6.94;Hydro Water Reservoir:4.64;Nuclear:61.59;Solar:0.25;Waste:0.42;Wind Offshore:2.14;Wind Onshore:13.79;Energy storage:0.01"
63000,"renewable_heavy_host","energy_mix","Biomass:0.31;Fossil Gas:6.97;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:3.39;Hydro Run-of-river and pondage:6.96;Hydro Water Reservoir:4.61;Nuclear:60.90;Solar:0.25;Waste:0.42;Wind Offshore:2.11;Wind Onshore:14.01;Energy storage:0.00"
63900,"renewable_heavy_host","energy_mix","Biomass:0.30;Fossil Gas:6.96;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:3.57;Hydro Run-of-river and pondage:6.94;Hydro Water Reservoir:4.61;Nuclear:60.44;Solar:0.25;Waste:0.41;Wind Offshore:2.09;Wind Onshore:14.31;Energy storage:0.04"
64800,"renewable_heavy_host","energy_mix","Biomass:0.30;Fossil Gas:6.89;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:3.76;Hydro Run-of-river and pondage:6.92;Hydro Water Reservoir:4.58;Nuclear:60.12;Solar:0.25;Waste:0.41;Wind Offshore:2.07;Wind Onshore:14.62;Energy storage:0.01"
65700,"renewable_heavy_host","energy_mix","Biomass:0.30;Fossil Gas:6.88;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:3.55;Hydro Run-of-river and pondage:6.90;Hydro Water Reservoir:4.53;Nuclear:60.06;Solar:0.25;Waste:0.41;Wind Offshore:2.07;Wind Onshore:14.97;Energy storage:0.01"
66600,"renewable_heavy_host","energy_mix","Biomass:0.31;Fossil Gas:6.94;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:3.27;Hydro Run-of-river and pondage:6.84;Hydro Water Reservoir:4.48;Nuclear:60.11;Solar:0.25;Waste:0.41;Wind Offshore:2.07;Wind Onshore:15.22;Energy storage:0.01"
67500,"renewable_heavy_host","energy_mix","Biomass:0.31;Fossil Gas:6.93;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:3.25;Hydro Run-of-river and pondage:6.81;Hydro Water Reservoir:4.47;Nuclear:60.09;Solar:0.25;Waste:0.41;Wind Offshore:2.07;Wind Onshore:15.33;Energy storage:0.01"
68400,"renewable_heavy_host","energy_mix","Biomass:0.30;Fossil Gas:6.79;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:3.49;Hydro Run-of-river and pondage:6.82;Hydro Water Reservoir:4.41;Nuclear:60.19;Solar:0.00;Waste:0.41;Wind Offshore:2.06;Wind Onshore:15.44;Energy storage:0.00"
