user_ID,group_ID,submit_time,start_time,end_time,wallclock_limit,job_status,node_count,tasks_requested
86,87,2012-02-08 03:31:00+00:00,2012-02-08 03:31:24+00:00,2012-02-08 03:58:39+00:00,0 days 00:30:00.000000000,CANCELLED,64,1536
86,87,2012-02-08 03:31:10+00:00,2012-02-08 03:31:24+00:00,2012-02-08 03:32:33+00:00,0 days 02:00:00.000000000,COMPLETED,43,1032
86,87,2012-02-08 03:33:59+00:00,2012-02-08 03:34:01+00:00,2012-02-08 03:39:24+00:00,0 days 02:00:00.000000000,COMPLETED,43,1032
86,87,2012-02-08 04:12:43+00:00,2012-02-08 04:12:47+00:00,2012-02-08 04:13:50+00:00,0 days 01:00:00.000000000,COMPLETED,256,6144
86,87,2012-02-08 04:22:20+00:00,2012-02-08 04:22:37+00:00,2012-02-08 04:23:41+00:00,0 days 01:00:00.000000000,COMPLETED,256,6144
86,87,2012-02-08 04:25:29+00:00,2012-02-08 04:25:47+00:00,2012-02-08 05:13:32+00:00,0 days 01:00:00.000000000,CANCELLED,256,6144
86,87,2012-02-08 04:31:51+00:00,2012-02-08 04:32:03+00:00,2012-02-08 04:34:32+00:00,0 days 00:20:00.000000000,COMPLETED,43,1032
86,87,2012-02-08 04:41:48+00:00,2012-02-08 04:41:56+00:00,2012-02-08 04:42:56+00:00,0 days 01:00:00.000000000,COMPLETED,64,1536
86,87,2012-02-08 04:43:21+00:00,2012-02-08 04:43:32+00:00,2012-02-08 04:43:34+00:00,0 days 01:00:00.000000000,COMPLETED,64,1536
86,87,2012-02-08 04:44:40+00:00,2012-02-08 04:45:07+00:00,2012-02-08 04:52:40+00:00,0 days 01:00:00.000000000,CANCELLED,64,1536
86,87,2012-02-08 04:53:03+00:00,2012-02-08 04:53:27+00:00,2012-02-08 04:57:29+00:00,0 days 00:20:00.000000000,COMPLETED,43,1032
86,87,2012-02-08 05:17:59+00:00,2012-02-08 05:23:31+00:00,2012-02-08 13:20:25+00:00,0 days 16:00:00.000000000,COMPLETED,512,12288
86,87,2012-02-08 05:24:10+00:00,2012-02-08 05:24:33+00:00,2012-02-08 05:25:10+00:00,0 days 16:00:00.000000000,COMPLETED,300,7200
86,87,2012-02-08 05:25:22+00:00,2012-02-08 05:25:35+00:00,2012-02-08 05:25:42+00:00,0 days 16:00:00.000000000,COMPLETED,300,7200
86,87,2012-02-08 05:27:16+00:00,2012-02-08 05:27:40+00:00,2012-02-08 15:42:19+00:00,0 days 16:00:00.000000000,CANCELLED,300,7200
86,87,2012-02-08 05:29:36+00:00,2012-02-08 05:29:44+00:00,2012-02-08 05:34:02+00:00,0 days 00:20:00.000000000,COMPLETED,43,1032
45,45,2012-02-08 06:23:40+00:00,2012-02-08 06:24:02+00:00,2012-02-08 22:24:04+00:00,0 days 16:00:00.000000000,TIMEOUT,43,1032
86,87,2012-02-08 13:30:01+00:00,2012-02-08 13:30:16+00:00,2012-02-08 13:31:31+00:00,0 days 16:00:00.000000000,COMPLETED,768,18432
86,87,2012-02-08 13:31:56+00:00,2012-02-08 13:32:22+00:00,2012-02-09 05:32:23+00:00,0 days 16:00:00.000000000,TIMEOUT,768,18432
86,87,2012-02-08 13:41:28+00:00,2012-02-08 13:41:45+00:00,2012-02-08 13:42:30+00:00,0 days 01:00:00.000000000,CANCELLED,342,8208
