"timestamp","host_id","property_name","new_value"
27900,"AS0","energy_mix","Biomass:9.42;Fossil Brown coal/Lignite:16.76;Fossil Coal-derived gas:1.28;Fossil Gas:27.98;Fossil Hard coal:7.62;Fossil Oil:0.23;Geothermal:0.05;Hydro Pumped Storage:0.62;Hydro Run-of-river and pondage:1.87;Hydro Water Reservoir:0.38;Other renewable:0.16;Solar:1.22;Waste:1.36;Wind Offshore:5.18;Wind Onshore:25.23;Other:0.64"
28800,"AS0","energy_mix","Biomass:9.12;Fossil Brown coal/Lignite:16.65;Fossil Coal-derived gas:1.25;Fossil Gas:27.52;Fossil Hard coal:7.80;Fossil Oil:0.23;Geothermal:0.05;Hydro Pumped Storage:1.46;Hydro Run-of-river and pondage:1.80;Hydro Water Reservoir:0.50;Other renewable:0.15;Solar:2.22;Waste:1.32;Wind Offshore:5.13;Wind Onshore:24.16;Other:0.64"
29700,"AS0","energy_mix","Biomass:8.96;Fossil Brown coal/Lignite:16.34;Fossil Coal-derived gas:1.23;Fossil Gas:26.98;Fossil Hard coal:8.06;Fossil Oil:0.22;Geothermal:0.05;Hydro Pumped Storage:1.84;Hydro Run-of-river and pondage:1.79;Hydro Water Reservoir:0.61;Other renewable:0.15;Solar:3.34;Waste:1.30;Wind Offshore:5.18;Wind Onshore:23.32;Other:0.63"
30600,"AS0","energy_mix","Biomass:8.83;Fossil Brown coal/Lignite:16.16;Fossil Coal-derived gas:1.23;Fossil Gas:26.66;Fossil Hard coal:8.28;Fossil Oil:0.22;Geothermal:0.04;Hydro Pumped Storage:1.58;Hydro Run-of-river and pondage:1.76;Hydro Water Reservoir:0.49;Other renewable:0.15;Solar:4.57;Waste:1.28;Wind Offshore:5.49;Wind Onshore:22.64;Other:0.62"
31500,"AS0","energy_mix","Biomass:8.63;Fossil Brown coal/Lignite:15.92;Fossil Coal-derived gas:1.18;Fossil Gas:26.20;Fossil Hard coal:8.33;Fossil Oil:0.22;Geothermal:0.04;Hydro Pumped Storage:1.44;Hydro Run-of-river and pondage:1.73;Hydro Water Reservoir:0.48;Other renewable:0.15;Solar:5.82;Waste:1.27;Wind Offshore:5.90;Wind Onshore:22.07;Other:0.62"
32400,"AS0","energy_mix","Biomass:8.38;Fossil Brown coal/Lignite:15.80;Fossil Coal-derived gas:1.15;Fossil Gas:25.71;Fossil Hard coal:8.40;Fossil Oil:0.21;Geothermal:0.04;Hydro Pumped Storage:1.56;Hydro Run-of-river and pondage:1.70;Hydro Water Reservoir:0.49;Other renewable:0.14;Solar:7.12;Waste:1.21;Wind Offshore:6.27;Wind Onshore:21.23;Other:0.59"
33300,"AS0","energy_mix","Biomass:8.32;Fossil Brown coal/Lignite:15.66;Fossil Coal-derived gas:1.16;Fossil Gas:25.64;Fossil Hard coal:8.51;Fossil Oil:0.21;Geothermal:0.04;Hydro Pumped Storage:0.80;Hydro Run-of-river and pondage:1.68;Hydro Water Reservoir:0.38;Other renewable:0.14;Solar:8.46;Waste:1.22;Wind Offshore:6.51;Wind Onshore:20.66;Other:0.61"
34200,"AS0","energy_mix","Biomass:8.23;Fossil Brown coal/Lignite:15.45;Fossil Coal-derived gas:1.04;Fossil Gas:25.53;Fossil Hard coal:8.40;Fossil Oil:0.21;Geothermal:0.04;Hydro Pumped Storage:0.60;Hydro Run-of-river and pondage:1.68;Hydro Water Reservoir:0.33;Other renewable:0.14;Solar:9.73;Waste:1.22;Wind Offshore:6.62;Wind Onshore:20.18;Other:0.60"
35100,"AS0","energy_mix","Biomass:8.14;Fossil Brown coal/Lignite:15.23;Fossil Coal-derived gas:1.02;Fossil Gas:25.48;Fossil Hard coal:8.13;Fossil Oil:0.21;Geothermal:0.04;Hydro Pumped Storage:0.38;Hydro Run-of-river and pondage:1.67;Hydro Water Reservoir:0.43;Other renewable:0.14;Solar:10.96;Waste:1.23;Wind Offshore:6.79;Wind Onshore:19.57;Other:0.58"
36000,"AS0","energy_mix","Biomass:8.06;Fossil Brown coal/Lignite:15.02;Fossil Coal-derived gas:1.02;Fossil Gas:25.31;Fossil Hard coal:7.77;Fossil Oil:0.21;Geothermal:0.04;Hydro Pumped Storage:0.42;Hydro Run-of-river and pondage:1.64;Hydro Water Reservoir:0.35;Other renewable:0.14;Solar:12.09;Waste:1.22;Wind Offshore:6.95;Wind Onshore:19.17;Other:0.59"
36900,"AS0","energy_mix","Biomass:8.00;Fossil Brown coal/Lignite:14.91;Fossil Coal-derived gas:1.03;Fossil Gas:25.01;Fossil Hard coal:7.45;Fossil Oil:0.20;Geothermal:0.04;Hydro Pumped Storage:0.54;Hydro Run-of-river and pondage:1.64;Hydro Water Reservoir:0.48;Other renewable:0.14;Solar:13.07;Waste:1.22;Wind Offshore:7.09;Wind Onshore:18.60;Other:0.58"
37800,"AS0","energy_mix","Biomass:7.95;Fossil Brown coal/Lignite:14.93;Fossil Coal-derived gas:1.01;Fossil Gas:24.97;Fossil Hard coal:7.42;Fossil Oil:0.20;Geothermal:0.04;Hydro Pumped Storage:0.24;Hydro Run-of-river and pondage:1.62;Hydro Water Reservoir:0.33;Other renewable:0.14;Solar:13.91;Waste:1.21;Wind Offshore:7.36;Wind Onshore:18.09;Other:0.58"
38700,"AS0","energy_mix","Biomass:7.86;Fossil Brown coal/Lignite:14.74;Fossil Coal-derived gas:1.02;Fossil Gas:24.98;Fossil Hard coal:7.32;Fossil Oil:0.20;Geothermal:0.04;Hydro Pumped Storage:0.17;Hydro Run-of-river and pondage:1.60;Hydro Water Reservoir:0.23;Other renewable:0.14;Solar:14.60;Waste:1.19;Wind Offshore:7.66;Wind Onshore:17.68;Other:0.57"
39600,"AS0","energy_mix","Biomass:7.67;Fossil Brown coal/Lignite:14.70;Fossil Coal-derived gas:1.02;Fossil Gas:24.69;Fossil Hard coal:7.29;Fossil Oil:0.20;Geothermal:0.04;Hydro Pumped Storage:0.38;Hydro Run-of-river and pondage:1.59;Hydro Water Reservoir:0.19;Other renewable:0.14;Solar:15.02;Waste:1.18;Wind Offshore:8.02;Wind Onshore:17.31;Other:0.56"
40500,"AS0","energy_mix","Biomass:7.62;Fossil Brown coal/Lignite:14.62;Fossil Coal-derived gas:1.04;Fossil Gas:24.61;Fossil Hard coal:7.24;Fossil Oil:0.20;Geothermal:0.04;Hydro Pumped Storage:0.14;Hydro Run-of-river and pondage:1.58;Hydro Water Reservoir:0.16;Other renewable:0.13;Solar:15.49;Waste:1.17;Wind Offshore:8.31;Wind Onshore:17.08;Other:0.57"
41400,"AS0","energy_mix","Biomass:7.64;Fossil Brown coal/Lignite:14.63;Fossil Coal-derived gas:1.05;Fossil Gas:24.49;Fossil Hard coal:7.15;Fossil Oil:0.20;Geothermal:0.04;Hydro Pumped Storage:0.18;Hydro Run-of-river and pondage:1.59;Hydro Water Reservoir:0.17;Other renewable:0.13;Solar:15.82;Waste:1.17;Wind Offshore:8.44;Wind Onshore:16.73;Other:0.57"
42300,"AS0","energy_mix","Biomass:7.70;Fossil Brown coal/Lignite:14.70;Fossil Coal-derived gas:1.03;Fossil Gas:24.45;Fossil Hard coal:7.17;Fossil Oil:0.20;Geothermal:0.04;Hydro Pumped Storage:0.09;Hydro Run-of-river and pondage:1.59;Hydro Water Reservoir:0.16;Other renewable:0.14;Solar:15.98;Waste:1.17;Wind Offshore:8.53;Wind Onshore:16.47;Other:0.58"
43200,"AS0","energy_mix","Biomass:7.71;Fossil Brown coal/Lignite:14.82;Fossil Coal-derived gas:1.02;Fossil Gas:24.32;Fossil Hard coal:7.21;Fossil Oil:0.20;Geothermal:0.04;Hydro Pumped Storage:0.17;Hydro Run-of-river and pondage:1.59;Hydro Water Reservoir:0.17;Other renewable:0.14;Solar:15.95;Waste:1.20;Wind Offshore:8.67;Wind Onshore:16.22;Other:0.57"
44100,"AS0","energy_mix","Biomass:7.76;Fossil Brown coal/Lignite:14.93;Fossil Coal-derived gas:1.00;Fossil Gas:24.40;Fossil Hard coal:7.26;Fossil Oil:0.20;Geothermal:0.04;Hydro Pumped Storage:0.07;Hydro Run-of-river and pondage:1.60;Hydro Water Reservoir:0.04;Other renewable:0.14;Solar:15.67;Waste:1.21;Wind Offshore:9.06;Wind Onshore:16.04;Other:0.58"
45000,"AS0","energy_mix","Biomass:7.82;Fossil Brown coal/Lignite:14.97;Fossil Coal-derived gas:0.99;Fossil Gas:24.60;Fossil Hard coal:7.30;Fossil Oil:0.21;Geothermal:0.04;Hydro Pumped Storage:0.16;Hydro Run-of-river and pondage:1.61;Hydro Water Reservoir:0.05;Other renewable:0.14;Solar:15.10;Waste:1.20;Wind Offshore:9.38;Wind Onshore:15.85;Other:0.58"
45900,"AS0","energy_mix","Biomass:7.90;Fossil Brown coal/Lignite:15.14;Fossil Coal-derived gas:1.03;Fossil Gas:24.95;Fossil Hard coal:7.45;Fossil Oil:0.21;Geothermal:0.04;Hydro Pumped Storage:0.09;Hydro Run-of-river and pondage:1.62;Hydro Water Reservoir:0.04;Other renewable:0.14;Solar:14.32;Waste:1.23;Wind Offshore:9.49;Wind Onshore:15.76;Other:0.59"
