"timestamp","host_id","property_name","new_value"
38700,"AS0","energy_mix","Biomass:1.82;Fossil Brown coal/Lignite:10.08;Fossil Coal-derived gas:0.65;Fossil Gas:16.03;Fossil Hard coal:33.09;Fossil Oil:1.02;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.23;Hydro Water Reservoir:0.09;Other renewable:0.29;Solar:8.63;Wind Onshore:25.10;Other:2.97"
39600,"AS0","energy_mix","Biomass:1.83;Fossil Brown coal/Lignite:9.49;Fossil Coal-derived gas:0.66;Fossil Gas:16.74;Fossil Hard coal:32.88;Fossil Oil:1.04;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.23;Hydro Water Reservoir:0.09;Other renewable:0.30;Solar:8.83;Wind Onshore:24.92;Other:2.99"
40500,"AS0","energy_mix","Biomass:1.80;Fossil Brown coal/Lignite:9.44;Fossil Coal-derived gas:0.66;Fossil Gas:16.72;Fossil Hard coal:32.89;Fossil Oil:1.04;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.23;Hydro Water Reservoir:0.09;Other renewable:0.30;Solar:8.72;Wind Onshore:25.12;Other:2.99"
41400,"AS0","energy_mix","Biomass:1.81;Fossil Brown coal/Lignite:9.59;Fossil Coal-derived gas:0.66;Fossil Gas:16.75;Fossil Hard coal:32.76;Fossil Oil:1.04;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.23;Hydro Water Reservoir:0.09;Other renewable:0.30;Solar:8.48;Wind Onshore:25.31;Other:2.98"
42300,"AS0","energy_mix","Biomass:1.83;Fossil Brown coal/Lignite:9.95;Fossil Coal-derived gas:0.67;Fossil Gas:16.78;Fossil Hard coal:32.83;Fossil Oil:1.06;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.24;Hydro Water Reservoir:0.10;Other renewable:0.30;Solar:7.70;Wind Onshore:25.55;Other:2.99"
43200,"AS0","energy_mix","Biomass:1.84;Fossil Brown coal/Lignite:9.76;Fossil Coal-derived gas:0.67;Fossil Gas:16.89;Fossil Hard coal:32.76;Fossil Oil:1.06;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.24;Hydro Water Reservoir:0.10;Other renewable:0.30;Solar:7.59;Wind Onshore:25.75;Other:3.04"
44100,"AS0","energy_mix","Biomass:1.86;Fossil Brown coal/Lignite:9.81;Fossil Coal-derived gas:0.67;Fossil Gas:16.95;Fossil Hard coal:32.86;Fossil Oil:1.07;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.24;Hydro Water Reservoir:0.10;Other renewable:0.30;Solar:7.00;Wind Onshore:26.09;Other:3.05"
45000,"AS0","energy_mix","Biomass:1.89;Fossil Brown coal/Lignite:10.04;Fossil Coal-derived gas:0.68;Fossil Gas:16.86;Fossil Hard coal:32.97;Fossil Oil:1.09;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.24;Hydro Water Reservoir:0.10;Other renewable:0.31;Solar:6.24;Wind Onshore:26.49;Other:3.09"
45900,"AS0","energy_mix","Biomass:1.87;Fossil Brown coal/Lignite:9.89;Fossil Coal-derived gas:0.67;Fossil Gas:17.06;Fossil Hard coal:33.31;Fossil Oil:1.07;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.24;Hydro Water Reservoir:0.10;Other renewable:0.30;Solar:5.68;Wind Onshore:26.74;Other:3.07"
46800,"AS0","energy_mix","Biomass:1.86;Fossil Brown coal/Lignite:9.79;Fossil Coal-derived gas:0.67;Fossil Gas:17.30;Fossil Hard coal:34.02;Fossil Oil:1.07;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.24;Hydro Water Reservoir:0.10;Other renewable:0.30;Solar:5.04;Wind Onshore:26.56;Other:3.05"
